Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
20.0,80,320,3,1,98.75
98.75,395,5,3,32,91.89873417721519
91.89873417721519,367,33,3,17,95.36784741144415
95.36784741144415,381,19,3,39,89.76377952755905
89.76377952755905,359,41,3,17,95.26462395543176
95.26462395543176,381,19,3,13,96.58792650918635
96.58792650918635,386,14,3,28,92.7461139896373
92.7461139896373,370,30,3,22,94.05405405405406
94.05405405405406,376,24,3,25,93.35106382978724
93.35106382978724,373,27,3,28,92.49329758713137
92.49329758713137,369,31,3,15,95.93495934959348
95.93495934959348,383,17,3,31,91.90600522193212
91.90600522193212,367,33,3,15,95.91280653950955
95.91280653950955,383,17,3,30,92.16710182767625
92.16710182767625,368,32,3,15,95.92391304347825
95.92391304347825,383,17,3,30,92.16710182767625
92.16710182767625,368,32,3,10,97.28260869565217
97.28260869565217,389,11,3,49,87.40359897172236
87.40359897172236,349,51,3,12,96.56160458452722
96.56160458452722,386,14,3,34,91.19170984455958
91.19170984455958,364,36,3,21,94.23076923076924
94.23076923076924,376,24,3,21,94.41489361702128
94.41489361702128,377,23,3,11,97.08222811671088
97.08222811671088,388,12,3,18,95.36082474226804
95.36082474226804,381,19,3,26,93.1758530183727
93.1758530183727,372,28,3,23,93.81720430107526
93.81720430107526,375,25,3,22,94.13333333333333
94.13333333333333,376,24,3,31,91.75531914893617
91.75531914893617,367,33,3,37,89.9182561307902
89.9182561307902,359,41,3,14,96.10027855153204
96.10027855153204,384,16,3,20,94.79166666666667
94.79166666666667,379,21,3,19,94.9868073878628
94.9868073878628,379,21,3,33,91.29287598944592
91.29287598944592,365,35,3,38,89.58904109589041
89.58904109589041,358,42,3,18,94.97206703910614
94.97206703910614,379,21,3,30,92.0844327176781
92.0844327176781,368,32,3,12,96.73913043478261
96.73913043478261,386,14,3,29,92.48704663212435
92.48704663212435,369,31,3,28,92.41192411924118
92.41192411924118,369,31,3,19,94.8509485094851
94.8509485094851,379,21,3,19,94.9868073878628
94.9868073878628,379,21,3,36,90.50131926121372
90.50131926121372,362,38,3,12,96.68508287292818
